Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,12,0.01,0.01,0.270092995
75% Corpus,12,0.01,0.31,0.26377674
75% Corpus,12,0.01,0.61,0.274457247
75% Corpus,12,0.01,0.91,0.268747485
75% Corpus,12,0.01,symmetric,0.271134901
75% Corpus,12,0.31,0.01,0.266772105
75% Corpus,12,0.31,0.31,0.27457313
75% Corpus,12,0.31,0.61,0.265367051
75% Corpus,12,0.31,0.91,0.281570552
75% Corpus,12,0.31,symmetric,0.255947368
75% Corpus,12,0.61,0.01,0.262372079
75% Corpus,12,0.61,0.31,0.273401109
75% Corpus,12,0.61,0.61,0.265829249
75% Corpus,12,0.61,0.91,0.266390639
75% Corpus,12,0.61,symmetric,0.258538715
75% Corpus,12,0.91,0.01,0.261213661
75% Corpus,12,0.91,0.31,0.255683921
75% Corpus,12,0.91,0.61,0.258605048
75% Corpus,12,0.91,0.91,0.265552405
75% Corpus,12,0.91,symmetric,0.255958087
75% Corpus,12,symmetric,0.01,0.267148893
75% Corpus,12,symmetric,0.31,0.264120661
75% Corpus,12,symmetric,0.61,0.258666226
75% Corpus,12,symmetric,0.91,0.284098763
75% Corpus,12,symmetric,symmetric,0.272043608
75% Corpus,12,asymmetric,0.01,0.272738018
75% Corpus,12,asymmetric,0.31,0.291702406
75% Corpus,12,asymmetric,0.61,0.265005178
75% Corpus,12,asymmetric,0.91,0.274729323
75% Corpus,12,asymmetric,symmetric,0.284240279
75% Corpus,13,0.01,0.01,0.280629787
75% Corpus,13,0.01,0.31,0.278746385
75% Corpus,13,0.01,0.61,0.288152551
75% Corpus,13,0.01,0.91,0.274251358
75% Corpus,13,0.01,symmetric,0.267361626
75% Corpus,13,0.31,0.01,0.265098554
75% Corpus,13,0.31,0.31,0.271223724
75% Corpus,13,0.31,0.61,0.257747444
75% Corpus,13,0.31,0.91,0.28159975
75% Corpus,13,0.31,symmetric,0.276701542
75% Corpus,13,0.61,0.01,0.269482469
75% Corpus,13,0.61,0.31,0.2584201
75% Corpus,13,0.61,0.61,0.262184134
75% Corpus,13,0.61,0.91,0.276025548
75% Corpus,13,0.61,symmetric,0.265363227
75% Corpus,13,0.91,0.01,0.256787999
75% Corpus,13,0.91,0.31,0.259190109
75% Corpus,13,0.91,0.61,0.265757886
75% Corpus,13,0.91,0.91,0.255874014
75% Corpus,13,0.91,symmetric,0.25646132
75% Corpus,13,symmetric,0.01,0.264310433
75% Corpus,13,symmetric,0.31,0.279300907
75% Corpus,13,symmetric,0.61,0.274374227
75% Corpus,13,symmetric,0.91,0.275303947
75% Corpus,13,symmetric,symmetric,0.28385126
75% Corpus,13,asymmetric,0.01,0.270151686
75% Corpus,13,asymmetric,0.31,0.273799333
75% Corpus,13,asymmetric,0.61,0.274701546
75% Corpus,13,asymmetric,0.91,0.28731194
75% Corpus,13,asymmetric,symmetric,0.278841678
75% Corpus,14,0.01,0.01,0.265347963
75% Corpus,14,0.01,0.31,0.277029296
75% Corpus,14,0.01,0.61,0.278235758
75% Corpus,14,0.01,0.91,0.290085543
75% Corpus,14,0.01,symmetric,0.288311081
75% Corpus,14,0.31,0.01,0.268033319
75% Corpus,14,0.31,0.31,0.282086909
75% Corpus,14,0.31,0.61,0.270756189
75% Corpus,14,0.31,0.91,0.285257443
75% Corpus,14,0.31,symmetric,0.278807776
75% Corpus,14,0.61,0.01,0.265428629
75% Corpus,14,0.61,0.31,0.276135324
75% Corpus,14,0.61,0.61,0.27016024
75% Corpus,14,0.61,0.91,0.26247877
75% Corpus,14,0.61,symmetric,0.268404371
75% Corpus,14,0.91,0.01,0.258115534
75% Corpus,14,0.91,0.31,0.256663008
75% Corpus,14,0.91,0.61,0.262231907
75% Corpus,14,0.91,0.91,0.257778527
75% Corpus,14,0.91,symmetric,0.258681663
75% Corpus,14,symmetric,0.01,0.279365082
75% Corpus,14,symmetric,0.31,0.265764393
75% Corpus,14,symmetric,0.61,0.283250547
75% Corpus,14,symmetric,0.91,0.270978292
75% Corpus,14,symmetric,symmetric,0.279771738
75% Corpus,14,asymmetric,0.01,0.282344885
75% Corpus,14,asymmetric,0.31,0.269384406
75% Corpus,14,asymmetric,0.61,0.278558105
75% Corpus,14,asymmetric,0.91,0.295122487
75% Corpus,14,asymmetric,symmetric,0.270274415
75% Corpus,15,0.01,0.01,0.271121653
75% Corpus,15,0.01,0.31,0.280478586
75% Corpus,15,0.01,0.61,0.272730227
75% Corpus,15,0.01,0.91,0.278396331
75% Corpus,15,0.01,symmetric,0.282369451
75% Corpus,15,0.31,0.01,0.269443166
75% Corpus,15,0.31,0.31,0.282671763
75% Corpus,15,0.31,0.61,0.272015798
75% Corpus,15,0.31,0.91,0.295394042
75% Corpus,15,0.31,symmetric,0.26812955
75% Corpus,15,0.61,0.01,0.268989055
75% Corpus,15,0.61,0.31,0.271226946
75% Corpus,15,0.61,0.61,0.267578493
75% Corpus,15,0.61,0.91,0.26207121
75% Corpus,15,0.61,symmetric,0.258781384
75% Corpus,15,0.91,0.01,0.257193144
75% Corpus,15,0.91,0.31,0.261812652
75% Corpus,15,0.91,0.61,0.260874764
75% Corpus,15,0.91,0.91,0.265680026
75% Corpus,15,0.91,symmetric,0.258756012
75% Corpus,15,symmetric,0.01,0.268072903
75% Corpus,15,symmetric,0.31,0.280574849
75% Corpus,15,symmetric,0.61,0.278009677
75% Corpus,15,symmetric,0.91,0.276087855
75% Corpus,15,symmetric,symmetric,0.297698508
75% Corpus,15,asymmetric,0.01,0.27984131
75% Corpus,15,asymmetric,0.31,0.291171864
75% Corpus,15,asymmetric,0.61,0.278736617
75% Corpus,15,asymmetric,0.91,0.296245491
75% Corpus,15,asymmetric,symmetric,0.271143388
100% Corpus,2,0.01,0.01,0.273738815
100% Corpus,2,0.01,0.31,0.246012133
100% Corpus,2,0.01,0.61,0.248004868
100% Corpus,2,0.01,0.91,0.250964516
100% Corpus,2,0.01,symmetric,0.272989825
100% Corpus,2,0.31,0.01,0.276454279
100% Corpus,2,0.31,0.31,0.257160891
100% Corpus,2,0.31,0.61,0.251595124
100% Corpus,2,0.31,0.91,0.246401513
100% Corpus,2,0.31,symmetric,0.247030232
100% Corpus,2,0.61,0.01,0.247297018
100% Corpus,2,0.61,0.31,0.273075344
100% Corpus,2,0.61,0.61,0.253888001
100% Corpus,2,0.61,0.91,0.255387785
100% Corpus,2,0.61,symmetric,0.242009186
100% Corpus,2,0.91,0.01,0.250697677
100% Corpus,2,0.91,0.31,0.249144159
100% Corpus,2,0.91,0.61,0.258117994
100% Corpus,2,0.91,0.91,0.257568269
100% Corpus,2,0.91,symmetric,0.259722663
100% Corpus,2,symmetric,0.01,0.266571251
100% Corpus,2,symmetric,0.31,0.255244193
100% Corpus,2,symmetric,0.61,0.253020671
100% Corpus,2,symmetric,0.91,0.250565667
100% Corpus,2,symmetric,symmetric,0.242413157
100% Corpus,2,asymmetric,0.01,0.247899616
100% Corpus,2,asymmetric,0.31,0.243510589
100% Corpus,2,asymmetric,0.61,0.245093772
100% Corpus,2,asymmetric,0.91,0.243581822
100% Corpus,2,asymmetric,symmetric,0.257904792
100% Corpus,3,0.01,0.01,0.256659687
100% Corpus,3,0.01,0.31,0.285658083
100% Corpus,3,0.01,0.61,0.256026937
100% Corpus,3,0.01,0.91,0.272031127
100% Corpus,3,0.01,symmetric,0.249096706
100% Corpus,3,0.31,0.01,0.265970142
100% Corpus,3,0.31,0.31,0.258132806
100% Corpus,3,0.31,0.61,0.254336556
100% Corpus,3,0.31,0.91,0.260006161
100% Corpus,3,0.31,symmetric,0.249971526
100% Corpus,3,0.61,0.01,0.25416277
100% Corpus,3,0.61,0.31,0.250409071
100% Corpus,3,0.61,0.61,0.25219554
100% Corpus,3,0.61,0.91,0.257244534
100% Corpus,3,0.61,symmetric,0.258321457
100% Corpus,3,0.91,0.01,0.266566325
100% Corpus,3,0.91,0.31,0.245987819
100% Corpus,3,0.91,0.61,0.254862695
100% Corpus,3,0.91,0.91,0.255787719
100% Corpus,3,0.91,symmetric,0.258082201
100% Corpus,3,symmetric,0.01,0.251265306
100% Corpus,3,symmetric,0.31,0.26033341
100% Corpus,3,symmetric,0.61,0.266465293
100% Corpus,3,symmetric,0.91,0.260560256
100% Corpus,3,symmetric,symmetric,0.265472643
100% Corpus,3,asymmetric,0.01,0.241784656
100% Corpus,3,asymmetric,0.31,0.244937372
100% Corpus,3,asymmetric,0.61,0.243860251
100% Corpus,3,asymmetric,0.91,0.259083618
100% Corpus,3,asymmetric,symmetric,0.269098106
100% Corpus,4,0.01,0.01,0.257951044
100% Corpus,4,0.01,0.31,0.253118312
100% Corpus,4,0.01,0.61,0.273607483
100% Corpus,4,0.01,0.91,0.266171208
100% Corpus,4,0.01,symmetric,0.26931996
100% Corpus,4,0.31,0.01,0.2568098
100% Corpus,4,0.31,0.31,0.27368539
100% Corpus,4,0.31,0.61,0.259335639
100% Corpus,4,0.31,0.91,0.275155129
100% Corpus,4,0.31,symmetric,0.255781518
100% Corpus,4,0.61,0.01,0.258030058
100% Corpus,4,0.61,0.31,0.257822371
100% Corpus,4,0.61,0.61,0.257653871
100% Corpus,4,0.61,0.91,0.268377265
100% Corpus,4,0.61,symmetric,0.265204231
100% Corpus,4,0.91,0.01,0.275284813
